Depth,Middle Probability,Border Probability,Corner Combinations,Edge Combinations,Interior Combinations
0,0,0,0,0,0
1,-1.2386603026400094,-0.6989700043360187,0.6020599913279623,1.7481880270061936,2.8943160626844247
2,-2.4773011134913787,-1.3974412495223048,1.0791812460476247,3.4885507165004412,5.786410665374888
3,-3.715922522181602,-2.095413676587423,1.380211241711606,5.22094447632341,8.676272386633059
4,-4.954524617763717,-2.7928863785225637,1.380211241711606,6.945220345924199,11.563889686968821
5,-6.193107488720742,-3.4898575874088724,,8.661223689558994,14.449250907000305
6,-7.431671222968994,-4.1863246580265425,,10.368793865656926,17.332344265576012
7,-8.670215907863493,-4.882284047510506,,12.067763869992945,20.2131578578568
8,-9.9087416302023,-5.577731290604838,,13.757959950021458,23.091679653358028
9,-11.147248476229151,-6.272660970042477,,15.439201187397046,25.967897493949692
10,-12.385736531638877,-6.9670666815397055,,17.111299045332764,28.841799091814153
11,-13.624205881581837,-7.660940992842768,,18.77405687701434,31.713372027360037
12,-14.862656610666704,-8.354275396197671,,20.427269390789682,34.582603747091014
13,-16.10108880296547,-9.047060253531129,,22.070722067275867,37.44948156142851
14,-17.339502542017243,-9.739284733528812,,23.704190522855455,40.31399264248688
15,-18.57789791083202,-10.430936739674259,,25.327439813253356,43.17612402179992
16,-19.816274991894844,-11.122002828164483,,26.940223669973093,46.03586258799709
17,-21.054633867169983,-11.812468114441693,,28.542283661301056,48.89319508442833
18,-22.29297461810404,-12.502316166869754,,30.133348268327552,51.7481081067362
19,-23.531297325630803,-13.191528885831431,,31.71313186494436,54.600588100373045
20,-24.76960207017447,-13.880086366220155,,33.28133358901135,57.45062135806279
21,-26.00788893165368,-14.567966740935404,,34.83763608977864,60.29819401720488
22,-27.24615798948514,-15.255146002551633,,36.38170413412892,63.14329205721913
23,-28.484409322587425,-15.941597799797663,,37.913183051171174,65.9859012968297
24,-29.722643009384925,-16.62729320483413,,39.43169699104906,68.82600739128645
25,-30.96085912781146,-17.312200446522553,,40.936846969368965,71.66359582952197
26,-32.19905775531355,-17.996284603901643,,42.428208663203236,74.49865193124208
27,-33.4372389688547,-18.679507252877116,,43.9053299179229,77.33116084394834
28,-34.675402844918636,-19.361826057625677,,45.36772791582185,80.16110753989
29,-35.91354945951329,-20.043194296327854,,46.81488594716407,82.98847681294382
