Depth,ScanRows,ScanColumns,ScanLargest,BuildSquare,SpiralIn,SpiralInSquare,SpiralOut,SpiralOutSquare,FrameFirstRows,FrameFirstColumns,FrameLastRows,FrameLastColumns
0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.6020599913279624,0.6020599913279624,0.6020599913279624,0.6020599913279624,0.6020599913279624,0.6020599913279624,2.8943160626844384,2.8943160626844384,0.6020599913279624,0.6020599913279624,2.8943160626844384,2.8943160626844384
2,1.651278013998144,1.651278013998144,1.651278013998144,1.651278013998144,1.651278013998144,1.651278013998144,4.5477503627350435,4.5477503627350435,1.651278013998144,1.651278013998144,4.5477503627350435,4.5477503627350435
3,2.693169458306109,2.693169458306109,2.693169458306109,2.693169458306109,2.693169458306109,2.693169458306109,6.198971273141721,6.198971273141721,2.693169458306109,2.693169458306109,6.198971273141721,6.198971273141721
4,3.7275907910639683,3.7275907910639683,3.7275907910639683,3.110184407499162,3.7275907910639683,3.7275907910639683,6.609365069204555,6.609365069204555,3.7275907910639683,3.7275907910639683,7.847967164786947,7.847967164786947
5,4.75439395872961,4.75439395872961,4.75439395872961,4.14460574025702,4.75439395872961,4.75439395872961,8.256143418279105,8.256143418279105,4.75439395872961,4.75439395872961,9.494726289236066,9.494726289236066
6,5.773426093478086,5.773426093478086,5.773426093478086,4.559476838674598,5.773426093478086,5.773426093478086,8.662128357711868,8.662128357711868,5.773426093478086,5.773426093478086,11.139236776854794,11.139236776854794
7,6.784529198958364,6.784529198958364,6.784529198958364,5.58628000634024,6.784529198958364,6.784529198958364,10.304416227654102,10.304416227654102,6.784529198958364,6.784529198958364,12.781486634887305,12.781486634887305
8,7.787539813810417,7.787539813810417,7.787539813810417,5.998995122393186,7.787539813810417,7.787539813810417,10.705943121718839,10.705943121718839,7.787539813810417,7.787539813810417,14.421463745493867,14.421463745493867
9,8.782288650744597,8.782288650744597,8.782288650744597,6.40954201549572,8.782288650744597,8.782288650744597,11.105240883282796,11.105240883282796,8.782288650744597,8.782288650744597,16.059155863746952,16.059155863746952
10,9.768600208682543,9.768600208682543,9.768600208682543,7.428574150244197,9.768600208682543,9.768600208682543,12.740710288848483,12.740710288848483,9.768600208682543,9.768600208682543,17.694550615584745,17.694550615584745
11,10.746292355121014,10.746292355121014,10.746292355121014,7.836940468839238,10.746292355121014,10.746292355121014,13.135474116527863,13.135474116527863,10.746292355121014,10.746292355121014,19.327635495720823,19.327635495720823
12,11.71517587549953,11.71517587549953,11.71517587549953,8.243113748387241,11.71517587549953,11.71517587549953,13.52796987992086,13.52796987992086,11.71517587549953,11.71517587549953,20.958397865508942,20.958397865508942
13,12.675053985919977,12.675053985919977,12.675053985919977,9.254216853867518,12.675053985919977,12.675053985919977,15.156506943324203,15.156506943324203,12.675053985919977,12.675053985919977,22.58682495076161,22.58682495076161
14,13.6257218050727,13.6257218050727,13.6257218050727,9.658184514797814,13.6257218050727,13.6257218050727,15.544390572312025,15.544390572312025,13.6257218050727,13.6257218050727,24.212903839521232,24.212903839521232
15,14.56696578065461,14.56696578065461,14.56696578065461,10.05993386042135,14.56696578065461,14.56696578065461,15.929966032314475,15.929966032314475,14.56696578065461,14.56696578065461,25.836621479782544,25.836621479782544
16,14.352435029228825,14.352435029228825,14.352435029228825,10.459452074803753,14.352435029228825,14.352435029228825,16.31321957861185,16.31321957861185,14.352435029228825,14.352435029228825,26.219587596102016,26.219587596102016
17,15.284618231136502,15.284618231136502,15.284618231136502,11.462462689655807,15.284618231136502,15.284618231136502,17.93233595661671,17.93233595661671,15.284618231136502,15.284618231136502,26.600220466324046,26.600220466324046
18,15.701633180329555,15.701633180329555,16.206936801579012,11.859736835449695,16.206936801579012,16.206936801579012,18.310869137881213,18.310869137881213,16.206936801579012,16.206936801579012,26.978506036561328,26.978506036561328
19,16.116504278747133,16.116504278747133,17.11914874047892,12.254753851684992,17.11914874047892,17.11914874047892,18.68703864085937,18.68703864085937,17.11914874047892,17.11914874047892,27.354430110887606,27.354430110887606
20,16.52921939480008,16.52921939480008,18.021000628543742,12.647500551516195,18.021000628543742,18.021000628543742,19.06083015209709,19.06083015209709,18.021000628543742,18.021000628543742,27.727978348677603,27.727978348677603
21,16.939766287902614,16.939766287902614,18.912226744771843,13.642249388450377,18.912226744771843,18.912226744771843,20.670307529715046,20.670307529715046,18.912226744771843,18.912226744771843,28.099136261891175,28.099136261891175
