Depth,ScanRows,ScanColumns,ScanLargest,BuildSquare,SpiralIn,SpiralInSquare,SpiralOut,SpiralOutSquare,FrameFirstRows,FrameFirstColumns,FrameLastRows,FrameLastColumns
0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.6020599913279623,0.6020599913279623,0.6020599913279623,0.6020599913279623,0.6020599913279623,0.6020599913279623,2.8943160626844247,2.8943160626844247,0.6020599913279623,0.6020599913279623,2.8943160626844247,2.8943160626844247
2,1.5720967679505116,1.5720967679505116,1.5720967679505116,1.5720967679505116,1.5720967679505116,1.5720967679505116,4.547750362734878,4.547750362734878,1.5720967679505116,1.5720967679505116,4.547750362734878,4.547750362734878
3,2.534931566550794,2.534931566550794,2.534931566550794,2.534931566550794,2.534931566550794,2.534931566550794,6.19897127314168,6.19897127314168,2.534931566550794,2.534931566550794,6.19897127314168,6.19897127314168
4,3.4904210714160246,3.4904210714160246,3.4904210714160246,2.95194651574384,3.4904210714160246,3.4904210714160246,6.609365069205104,6.609365069205104,3.4904210714160246,3.4904210714160246,7.847967164787219,7.847967164787219
5,4.438417617754528,4.438417617754528,4.438417617754528,3.9074360206090706,4.438417617754528,4.438417617754528,8.256143418279564,8.256143418279564,4.438417617754528,4.438417617754528,9.494726289236588,9.494726289236588
6,5.378768907426043,5.378768907426043,5.378768907426043,4.3223071190271956,5.378768907426043,5.378768907426043,8.662128357712518,8.662128357712518,5.378768907426043,5.378768907426043,11.13923677685527,11.13923677685527
7,6.311317704369046,6.311317704369046,6.311317704369046,5.270303665365699,6.311317704369046,6.311317704369046,10.3044162276545,10.3044162276545,6.311317704369046,6.311317704369046,12.781486634887806,12.781486634887806
8,7.235901507995855,7.235901507995855,7.235901507995855,5.683018781418593,7.235901507995855,7.235901507995855,10.705943121719152,10.705943121719152,7.235901507995855,7.235901507995855,14.421463745494535,14.421463745494535
9,8.152352202557445,8.152352202557445,8.152352202557445,6.093565674521049,8.152352202557445,8.152352202557445,11.105240883282988,11.105240883282988,8.152352202557445,8.152352202557445,16.059155863747392,16.059155863747392
10,9.060495680181553,9.060495680181553,9.060495680181553,7.033916964192564,9.060495680181553,9.060495680181553,12.740710288848682,12.740710288848682,9.060495680181553,9.060495680181553,17.694550615585,17.694550615585
11,9.960151434953538,9.960151434953538,9.960151434953538,7.442283282787471,9.960151434953538,9.960151434953538,13.135474116528016,13.135474116528016,9.960151434953538,9.960151434953538,19.32763549572116,19.32763549572116
12,10.851132125035221,10.851132125035221,10.851132125035221,7.84845656233535,10.851132125035221,10.851132125035221,13.52796987992103,13.52796987992103,10.851132125035221,10.851132125035221,20.958397865509177,20.958397865509177
13,11.733243099394066,11.733243099394066,11.733243099394066,8.781005359278353,11.733243099394066,11.733243099394066,15.156506943324473,15.156506943324473,11.733243099394066,11.733243099394066,22.58682495076181,22.58682495076181
14,12.606281885234083,12.606281885234083,12.606281885234083,9.184973020208602,12.606281885234083,12.606281885234083,15.544390572312409,15.544390572312409,12.606281885234083,12.606281885234083,24.21290383952141,24.21290383952141
15,13.47003763166979,13.47003763166979,13.47003763166979,9.58672236583223,13.47003763166979,13.47003763166979,15.92996603231478,15.92996603231478,13.47003763166979,13.47003763166979,25.83662147978268,25.83662147978268
16,13.1781624688727,13.1781624688727,13.1781624688727,9.986240580214698,13.1781624688727,13.1781624688727,16.313219578612163,16.313219578612163,13.1781624688727,13.1781624688727,26.219587596102244,26.219587596102244
17,14.033148424612001,14.033148424612001,14.033148424612001,10.910824383841508,14.033148424612001,14.033148424612001,17.932335956616868,17.932335956616868,14.033148424612001,14.033148424612001,26.600220466324288,26.600220466324288
18,14.450163373805047,14.450163373805047,14.878420619658144,11.308098529635537,14.878420619658144,14.878420619658144,18.310869137881497,18.310869137881497,14.878420619658144,14.878420619658144,26.978506036561726,26.978506036561726
19,14.865034472223172,14.865034472223172,15.713741145056503,11.703115545870752,15.713741145056503,15.713741145056503,18.687038640859754,18.687038640859754,15.713741145056503,15.713741145056503,27.354430110887904,27.354430110887904
20,15.277749588276066,15.277749588276066,16.53886108915478,12.095862245701944,16.53886108915478,16.53886108915478,19.060830152097623,19.060830152097623,16.53886108915478,16.53886108915478,27.727978348677865,27.727978348677865
21,15.688296481378522,15.688296481378522,17.353519690155302,13.012312940263534,17.353519690155302,17.353519690155302,20.670307529715643,20.670307529715643,17.353519690155302,17.353519690155302,28.09913626189133,28.09913626189133
22,16.09666279997343,16.09666279997343,18.15744340353787,13.402776008672411,18.15744340353787,18.15744340353787,21.03926581938873,21.03926581938873,18.15744340353787,18.15744340353787,28.46788921230049,28.46788921230049
23,16.50283607952131,16.50283607952131,18.95034487300118,13.790942000125689,18.95034487300118,18.95034487300118,21.40580257000704,21.40580257000704,18.95034487300118,18.95034487300118,28.834222408656416,28.834222408656416
24,16.906803740451558,16.906803740451558,19.731921791716033,14.176797336184087,19.731921791716033,19.731921791716033,21.769902856421993,21.769902856421993,19.731921791716033,19.731921791716033,29.198120903797218,29.198120903797218
25,17.308553086075186,17.308553086075186,20.50185563846307,14.560328303065297,20.50185563846307,20.50185563846307,22.131551594287913,22.131551594287913,20.50185563846307,20.50185563846307,29.55956959169157,29.55956959169157
26,17.708071300457654,17.708071300457654,21.25981027055621,15.468471780689406,21.25981027055621,21.25981027055621,23.7286624589716,23.7286624589716,21.25981027055621,21.25981027055621,29.918553204419425,29.918553204419425
27,18.105345446251683,18.105345446251683,22.005430352221858,15.849664526779485,22.005430352221858,22.005430352221858,24.085329773235486,24.085329773235486,22.005430352221858,22.005430352221858,30.27505630908388,30.27505630908388
28,18.500362462486898,18.500362462486898,22.738339593173876,16.228505060095095,22.738339593173876,22.738339593173876,24.439499575672272,24.439499575672272,22.738339593173876,22.738339593173876,30.629063304655944,30.629063304655944
29,18.89310916231809,18.89310916231809,23.458138767315617,16.60497924569014,23.458138767315617,23.458138767315617,24.791156110979045,24.791156110979045,23.458138767315617,23.458138767315617,32.218487340673335,32.218487340673335
30,19.283572230726968,19.283572230726968,24.164403475581047,16.97907280301029,24.164403475581047,24.164403475581047,25.140283448942,25.140283448942,24.164403475581047,24.164403475581047,32.5674222047065,32.5674222047065
31,19.671738222180245,19.671738222180245,23.710553573911575,17.878728557782274,23.710553573911575,23.710553573911575,26.724650653273926,26.724650653273926,24.856681609589813,24.856681609589813,32.91381339056963,32.91381339056963
32,19.278863802631733,19.278863802631733,24.12756852310462,18.250427057963016,24.40415669513858,24.40415669513858,27.068639881243115,27.068639881243115,25.53449046363359,25.53449046363359,33.25764458836443,33.25764458836443
33,20.114184328030092,20.114184328030092,24.542439621522746,18.61971592107117,25.08337007868714,25.08337007868714,27.410051298452714,27.410051298452714,26.197313430993972,26.197313430993972,33.59889930322748,33.59889930322748
